date_time,duration,source_ip,destination_ip,source_port,destination_port,protocol,flag,forwarding_status,tos,packets,bytes,label
27/07/2016 23:18,0.0,42.219.154.122,223.114.21.40,110,60245,TCP,.AP...,0,2,1,66,background
27/07/2016 17:13,1.448,193.27.83.86,42.219.156.212,25,37858,TCP,.AP.SF,0,0,17,1725,anomaly-spam
27/07/2016 16:48,0.124,79.180.132.76,42.219.155.56,41961,80,TCP,.AP.SF,0,0,36,2534,background
28/07/2016 1:37,8.955,42.219.156.28,209.85.225.27,4842,25,TCP,....S.,0,0,6,288,nerisbotnet
27/07/2016 19:59,0.0,201.112.181.230,42.219.157.23,38038,80,TCP,.A...F,0,0,1,52,background
27/07/2016 14:26,0.164,211.63.89.103,42.219.155.103,61971,110,TCP,.A...F,0,0,3,120,background
28/07/2016 4:03,0.0,64.255.96.112,42.219.158.188,54039,80,TCP,.A....,0,72,1,52,blacklist
28/07/2016 1:34,6.168,165.11.222.18,42.219.156.211,48701,80,TCP,.AP.SF,0,0,6,745,background
27/07/2016 19:26,0.592,42.219.156.212,193.27.83.103,59729,25,TCP,.APRS.,0,0,6,422,anomaly-spam
27/07/2016 20:37,0.436,193.27.83.86,42.219.156.215,25,38457,TCP,.AP.SF,0,0,5,961,anomaly-spam
28/07/2016 4:52,0.448,42.219.156.215,121.106.2.63,54772,25,TCP,.APRS.,0,0,6,438,anomaly-spam
28/07/2016 0:50,0.0,42.219.150.246,42.219.158.16,62671,981,TCP,....S.,0,0,1,44,scan44
28/07/2016 0:20,0.012,42.219.150.247,42.219.158.16,5463,80,TCP,...RS.,0,0,2,200,dos
28/07/2016 0:23,0.0,42.219.150.242,42.219.152.20,4194,80,TCP,...RS.,0,0,2,200,dos
27/07/2016 22:17,0.6,42.219.156.213,193.27.83.68,39376,25,TCP,.APRS.,0,0,6,437,anomaly-spam
27/07/2016 20:11,0.0,201.162.161.172,42.219.153.155,54555,443,TCP,.AP...,0,0,1,141,background
28/07/2016 0:57,6.828,42.219.156.211,211.63.139.219,80,54966,TCP,.AP.SF,0,0,5,1441,background
28/07/2016 2:14,0.0,51.158.98.91,42.219.153.62,59865,53,UDP,.A....,0,0,1,67,background
27/07/2016 19:35,7.604,91.74.88.26,42.219.159.85,80,50338,TCP,.AP.SF,0,40,362,529123,blacklist
27/07/2016 22:58,0.692,42.219.156.215,193.26.243.182,53708,25,TCP,.APRS.,0,0,6,437,anomaly-spam
27/07/2016 20:14,25.928,70.176.103.132,42.219.158.188,57793,80,TCP,.A...F,0,40,3,156,blacklist
28/07/2016 1:57,0.295,42.219.154.71,92.243.65.126,2079,53,UDP,......,0,0,2,116,nerisbotnet
27/07/2016 14:08,0.196,42.219.156.211,131.136.78.96,80,51726,TCP,.AP.SF,0,0,4,1098,background
28/07/2016 0:52,0.0,42.219.150.247,42.219.156.30,37946,30000,TCP,....S.,0,0,1,44,scan44
27/07/2016 19:21,3.024,42.219.159.90,78.183.198.107,30018,445,TCP,....S.,0,0,2,96,background
28/07/2016 1:55,0.0,143.72.8.137,42.219.158.17,53,33115,UDP,.A....,0,0,1,86,nerisbotnet
28/07/2016 3:42,3.0,42.219.159.90,244.58.3.24,29935,445,TCP,....S.,0,0,2,96,background
27/07/2016 14:26,0.0,173.33.21.235,42.219.155.170,24865,22,TCP,....S.,0,0,1,48,background
28/07/2016 0:23,0.148,52.74.223.105,42.219.157.222,80,19762,TCP,.A.RS.,0,40,2,88,blacklist
28/07/2016 5:08,0.0,42.219.158.188,143.72.8.137,33428,53,UDP,.A....,0,0,1,71,blacklist
27/07/2016 18:43,0.276,42.219.155.56,211.35.142.103,80,1248,TCP,.AP.SF,0,0,5,1350,background
28/07/2016 1:20,0.0,143.72.8.137,42.219.158.16,53,55402,UDP,.A....,0,0,1,86,nerisbotnet
